排名,占比(%),累计占比(%),自身时间(s),累计时间(s),调用次数,单次自身时间(s),单次总时间(s),函数名称
1,40.87,40.87,232.98,232.98,5457,0.04,0.06,compute_rhs_bssn_
2,24.73,65.6,140.95,373.93,1770332876,0.0,0.0,polint_
3,6.3,71.9,35.92,409.85,130968,0.0,0.0,lopsided_
4,4.99,76.89,28.43,438.28,60027,0.0,0.0,fdderivs_
5,4.6,81.49,26.21,464.49,239441,0.0,0.0,prolong3_
6,4.28,85.77,24.38,488.87,130968,0.0,0.0,kodis_
7,3.79,89.56,21.63,510.5,91237,0.0,0.0,fderivs_
8,1.87,91.43,10.68,521.18,,,,_init
9,1.64,93.07,9.36,530.54,5280,0.0,0.0,enforce_ga_
10,1.4,94.47,8.0,538.54,784851,0.0,0.0,symmetry_bd_
11,1.37,95.84,7.82,546.36,126720,0.0,0.0,rungekutta4_rout_
12,1.21,97.05,6.9,553.26,41170532,0.0,0.0,polin3_
13,0.69,97.74,3.93,557.19,130290,0.0,0.0,restrict3_
14,0.46,98.2,2.61,559.8,41170532,0.0,0.0,decide3d_
15,0.43,98.63,2.44,562.24,15936,0.0,0.0,average2_
16,0.24,98.87,1.37,563.61,521994240,0.0,0.0,misc::fact(int)
17,0.19,99.06,1.09,564.7,240,0.0,0.0,admmass_bssn_
18,0.18,99.24,1.0,565.7,1636793,0.0,0.0,copy_
19,0.15,99.39,0.83,566.53,41170532,0.0,0.0,global_interp_
20,0.13,99.52,0.74,567.27,20,0.04,0.04,getnp4_
21,0.11,99.63,0.62,567.89,1760,0.0,0.09,"Patch::Interp_Points(MyList<var>*, int, double**, double*, int)"
22,0.08,99.71,0.43,568.32,240,0.0,0.09,"surface_integral::surf_Wave(double, int, cgh*, var*, var*, int, int, int, double*, double*, monitor*)"
23,0.05,99.76,0.31,568.63,46448640,0.0,0.0,"misc::Wigner_d_function(int, int, int, double)"
24,0.05,99.81,0.31,568.94,607446,0.0,0.0,"Ansorg::interpolate_tri_bar(double, double, double, int, int, int, double*, double*, double*, double*)"
25,0.05,99.86,0.29,569.23,5280,0.0,0.0,lowerboundset_
26,0.02,99.88,0.11,569.34,124800,0.0,0.0,sommerfeld_rout_
27,0.02,99.9,0.11,569.45,29043,0.0,0.0,"Parallel::transfer(MyList<Parallel::gridseg>**, MyList<Parallel::gridseg>**, MyList<var>*, MyList<var>*, int)"
28,0.01,99.91,0.08,569.53,871780,0.0,0.0,"monitor::monitor(char const*, int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)"
29,0.01,99.92,0.07,569.6,240,0.0,0.09,"surface_integral::surf_MassPAng(double, int, cgh*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, double*, monitor*)"
30,0.01,99.93,0.06,569.66,1260,0.0,0.0,l2normhelper_
31,0.01,99.94,0.04,569.7,1822338,0.0,0.0,"Ansorg::find_point_bisection(double, int, double*, int)"
32,0.01,99.95,0.04,569.74,1320,0.0,0.4,"bssn_class::Step(int, int)"
33,0.01,99.96,0.04,569.78,9,0.0,0.0,get_ansorg_nbhs_
34,0.01,99.97,0.03,569.81,1920,0.0,0.0,sommerfeld_routbam_
35,0.01,99.98,0.03,569.84,1093,0.0,0.0,"Parallel::prepare_inter_time_level(Patch*, MyList<var>*, MyList<var>*, MyList<var>*, MyList<var>*, int)"
36,0.01,99.99,0.03,569.87,120,0.0,0.0,average_
37,0.0,99.99,0.02,569.89,13214167,0.0,0.0,Block::getdX(int)
38,0.0,99.99,0.02,569.91,42240,0.0,0.0,"Block::swapList(MyList<var>*, MyList<var>*, int)"
39,0.0,99.99,0.02,569.93,14923,0.0,0.0,"Parallel::Sync(Patch*, MyList<var>*, int)"
40,0.0,99.99,0.01,569.94,231952,0.0,0.0,"Parallel::build_gstl(MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>**, MyList<Parallel::gridseg>**)"
41,0.0,99.99,0.01,569.95,120144,0.0,0.0,"Parallel::build_owned_gsl0(Patch*, int)"
42,0.0,99.99,0.01,569.96,65696,0.0,0.0,"Parallel::build_bulk_gsl(Block*, Patch*)"
43,0.0,99.99,0.01,569.97,21821,0.0,0.0,Parallel::build_complete_gsl(Patch*)
44,0.0,99.99,0.01,569.98,1308,0.0,0.01,bssn_class::Constraint_Out()
45,0.0,99.99,0.01,569.99,20,0.0,26.84,bssn_class::RecursiveStep(int)
46,0.0,99.99,0.0,569.99,701658,0.0,0.0,Patch::getdX(int)
47,0.0,99.99,0.0,569.99,607446,0.0,0.0,"Ansorg::xyz_to_ABp(double, double, double, double*, double*, double*)"
48,0.0,99.99,0.0,569.99,607446,0.0,0.0,"Ansorg::ps_u_at_xyz(double, double, double)"
49,0.0,99.99,0.0,569.99,230517,0.0,0.0,"Patch::Interp_ONE_Point(MyList<var>*, double*, double*, int)"
50,0.0,99.99,0.0,569.99,150168,0.0,0.0,"Parallel::gs_subtract(MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>*)"
51,0.0,99.99,0.0,569.99,140352,0.0,0.0,"Parallel::build_owned_gsl2(Patch*, int)"
52,0.0,99.99,0.0,569.99,35552,0.0,0.0,"Parallel::build_owned_gsl4(Patch*, int, int)"
53,0.0,99.99,0.0,569.99,21000,0.0,0.0,"cgh::Interp_One_Point(MyList<var>*, double*, double*, int)"
54,0.0,99.99,0.0,569.99,19327,0.0,0.0,"Parallel::gsl_subtract(MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>*)"
55,0.0,99.99,0.0,569.99,19278,0.0,0.0,Parallel::build_buffer_gsl(Patch*)
56,0.0,99.99,0.0,569.99,14923,0.0,0.0,Parallel::build_ghost_gsl(Patch*)
57,0.0,99.99,0.0,569.99,8212,0.0,0.0,"Parallel::Sync(MyList<Patch>*, MyList<var>*, int)"
58,0.0,99.99,0.0,569.99,4355,0.0,0.0,"Parallel::OutBdLow2Hi(Patch*, Patch*, MyList<var>*, MyList<var>*, int)"
59,0.0,99.99,0.0,569.99,1939,0.0,0.0,"misc::parse_parts(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, int&)"
60,0.0,99.99,0.0,569.99,1406,0.0,0.0,"Parallel::Restrict(MyList<Patch>*, MyList<Patch>*, MyList<var>*, MyList<var>*, int)"
61,0.0,99.99,0.0,569.99,1321,0.0,0.0,"setpbh(int, double**, double*, int)"
62,0.0,99.99,0.0,569.99,1280,0.0,0.09,"Parallel::PatList_Interp_Points(MyList<Patch>*, MyList<var>*, int, double**, double*, int)"
63,0.0,99.99,0.0,569.99,1260,0.0,0.0,"Parallel::L2Norm(Patch*, var*)"
64,0.0,99.99,0.0,569.99,700,0.0,0.0,"cgh::Regrid_Onelevel(int, int, int, double**, double**, MyList<var>*, MyList<var>*, MyList<var>*, MyList<var>*, bool, monitor*)"
65,0.0,99.99,0.0,569.99,640,0.0,0.17,"bssn_class::compute_Porg_rhs(double**, double**, var*, var*, var*, int)"
66,0.0,99.99,0.0,569.99,639,0.0,0.0,"misc::parse_parts(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, int&, int&, int&)"
67,0.0,99.99,0.0,569.99,464,0.0,0.0,"Block::Block(int, int*, double*, int, int, int, int, int)"
68,0.0,99.99,0.0,569.99,464,0.0,0.0,Block::~Block()
69,0.0,99.99,0.0,569.99,440,0.0,0.0,"monitor::writefile(double, int, double*)"
70,0.0,99.99,0.0,569.99,240,0.0,0.0,"monitor::writefile(double, int, double*, double*)"
71,0.0,99.99,0.0,569.99,167,0.0,0.0,"var::var(char const*, int, double, double, double)"
72,0.0,99.99,0.0,569.99,167,0.0,0.0,var::~var()
73,0.0,99.99,0.0,569.99,107,0.0,0.0,"Patch::Patch(int, int*, double*, int, bool, int)"
