Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 40.87    232.98   232.98     5457     0.04     0.06  compute_rhs_bssn_
 24.73    373.93   140.95 1770332876     0.00     0.00  polint_
  6.30    409.85    35.92   130968     0.00     0.00  lopsided_
  4.99    438.28    28.43    60027     0.00     0.00  fdderivs_
  4.60    464.49    26.21   239441     0.00     0.00  prolong3_
  4.28    488.87    24.38   130968     0.00     0.00  kodis_
  3.79    510.50    21.63    91237     0.00     0.00  fderivs_
  1.87    521.18    10.68                             _init
  1.64    530.54     9.36     5280     0.00     0.00  enforce_ga_
  1.40    538.54     8.00   784851     0.00     0.00  symmetry_bd_
  1.37    546.36     7.82   126720     0.00     0.00  rungekutta4_rout_
  1.21    553.26     6.90 41170532     0.00     0.00  polin3_
  0.69    557.19     3.93   130290     0.00     0.00  restrict3_
  0.46    559.80     2.61 41170532     0.00     0.00  decide3d_
  0.43    562.24     2.44    15936     0.00     0.00  average2_
  0.24    563.61     1.37 521994240     0.00     0.00  misc::fact(int)
  0.19    564.70     1.09      240     0.00     0.00  admmass_bssn_
  0.18    565.70     1.00  1636793     0.00     0.00  copy_
  0.15    566.53     0.83 41170532     0.00     0.00  global_interp_
  0.13    567.27     0.74       20     0.04     0.04  getnp4_
  0.11    567.89     0.62     1760     0.00     0.09  Patch::Interp_Points(MyList<var>*, int, double**, double*, int)
  0.08    568.32     0.43      240     0.00     0.09  surface_integral::surf_Wave(double, int, cgh*, var*, var*, int, int, int, double*, double*, monitor*)
  0.05    568.63     0.31 46448640     0.00     0.00  misc::Wigner_d_function(int, int, int, double)
  0.05    568.94     0.31   607446     0.00     0.00  Ansorg::interpolate_tri_bar(double, double, double, int, int, int, double*, double*, double*, double*)
  0.05    569.23     0.29     5280     0.00     0.00  lowerboundset_
  0.02    569.34     0.11   124800     0.00     0.00  sommerfeld_rout_
  0.02    569.45     0.11    29043     0.00     0.00  Parallel::transfer(MyList<Parallel::gridseg>**, MyList<Parallel::gridseg>**, MyList<var>*, MyList<var>*, int)
  0.01    569.53     0.08   871780     0.00     0.00  monitor::monitor(char const*, int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.01    569.60     0.07      240     0.00     0.09  surface_integral::surf_MassPAng(double, int, cgh*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, double*, monitor*)
  0.01    569.66     0.06     1260     0.00     0.00  l2normhelper_
  0.01    569.70     0.04  1822338     0.00     0.00  Ansorg::find_point_bisection(double, int, double*, int)
  0.01    569.74     0.04     1320     0.00     0.40  bssn_class::Step(int, int)
  0.01    569.78     0.04        9     0.00     0.00  get_ansorg_nbhs_
  0.01    569.81     0.03     1920     0.00     0.00  sommerfeld_routbam_
