排名,占比(%),累计占比(%),函数自身时间(s),累计时间(s),调用次数,单次自身时间(s),单次总时间(s),函数名称
1,57.26,57.26,222.77,222.77,5457,0.04,0.06,compute_rhs_bssn_
2,9.02,66.28,35.09,257.86,130968,0.0,0.0,lopsided_
3,7.26,73.54,28.23,286.09,60027,0.0,0.0,fdderivs_
4,5.99,79.53,23.31,309.4,130968,0.0,0.0,kodis_
5,5.31,84.84,20.65,330.05,91237,0.0,0.0,fderivs_
6,5.11,89.95,19.88,349.93,203393,0.0,0.0,prolong3_
7,2.27,92.22,8.83,358.76,5280,0.0,0.0,enforce_ga_
8,2.25,94.47,8.77,367.53,126720,0.0,0.0,rungekutta4_rout_
9,1.78,96.25,6.91,374.44,744441,0.0,0.0,symmetry_bd_
10,0.86,97.11,3.35,377.79,125928,0.0,0.0,restrict3_
11,0.79,97.9,3.08,380.87,,,,_init
12,0.53,98.43,2.06,382.93,15936,0.0,0.0,average2_
13,0.29,98.72,1.14,384.07,521994240,0.0,0.0,misc::fact(int)
14,0.26,98.98,1.0,385.07,240,0.0,0.0,admmass_bssn_
15,0.2,99.18,0.77,385.84,20,0.04,0.04,getnp4_
16,0.19,99.37,0.74,386.58,1504474,0.0,0.0,copy_
17,0.11,99.48,0.41,386.99,240,0.0,0.01,"surface_integral::surf_Wave(double, int, cgh*, var*, var*, int, int, int, double*, double*, monitor*)"
18,0.08,99.56,0.32,387.31,1760,0.0,0.0,"Patch::Interp_Points(MyList<var>*, int, double**, double*, int)"
19,0.06,99.62,0.25,387.56,563166,0.0,0.0,"Ansorg::interpolate_tri_bar(double, double, double, int, int, int, double*, double*, double*, double*)"
20,0.06,99.68,0.22,387.78,46448640,0.0,0.0,"misc::Wigner_d_function(int, int, int, double)"
21,0.05,99.73,0.21,387.99,5280,0.0,0.0,lowerboundset_
22,0.05,99.78,0.18,388.17,2297060,0.0,0.0,polint_
23,0.03,99.81,0.12,388.29,1320,0.0,0.27,"bssn_class::Step(int, int)"
24,0.03,99.84,0.11,388.4,869188,0.0,0.0,"monitor::monitor(char const*, int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)"
25,0.03,99.87,0.11,388.51,124800,0.0,0.0,sommerfeld_rout_
26,0.03,99.9,0.1,388.61,29043,0.0,0.0,"Parallel::transfer(MyList<Parallel::gridseg>**, MyList<Parallel::gridseg>**, MyList<var>*, MyList<var>*, int)"
27,0.03,99.93,0.1,388.71,1920,0.0,0.0,sommerfeld_routbam_
28,0.02,99.95,0.06,388.77,1260,0.0,0.0,l2normhelper_
29,0.02,99.97,0.06,388.83,240,0.0,0.0,"surface_integral::surf_MassPAng(double, int, cgh*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, double*, monitor*)"
30,0.01,99.98,0.04,388.87,9,0.0,0.0,get_ansorg_nbhs_
31,0.01,99.99,0.02,388.89,1689498,0.0,0.0,"Ansorg::find_point_bisection(double, int, double*, int)"
32,0.01,100.0,0.02,388.91,231952,0.0,0.0,"Parallel::build_gstl(MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>**, MyList<Parallel::gridseg>**)"
33,0.01,100.01,0.02,388.93,53420,0.0,0.0,decide3d_
34,0.01,100.02,0.02,388.95,53420,0.0,0.0,polin3_
35,0.01,100.03,0.02,388.97,19327,0.0,0.0,"Parallel::gsl_subtract(MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>*)"
36,0.01,100.04,0.02,388.99,1093,0.0,0.0,"Parallel::prepare_inter_time_level(Patch*, MyList<var>*, MyList<var>*, MyList<var>*, MyList<var>*, int)"
37,0.01,100.05,0.02,389.01,120,0.0,0.0,average_
38,0.0,100.05,0.01,389.02,13216975,0.0,0.0,Block::getdX(int)
39,0.0,100.05,0.01,389.03,150168,0.0,0.0,"Parallel::gs_subtract(MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>*)"
40,0.0,100.05,0.01,389.04,65696,0.0,0.0,"Parallel::build_bulk_gsl(Block*, Patch*)"
41,0.0,100.05,0.01,389.05,42240,0.0,0.0,"Block::swapList(MyList<var>*, MyList<var>*, int)"
42,0.0,100.05,0.01,389.06,21000,0.0,0.0,"cgh::Interp_One_Point(MyList<var>*, double*, double*, int)"
43,0.0,100.05,0.01,389.07,1406,0.0,0.0,"Parallel::Restrict(MyList<Patch>*, MyList<Patch>*, MyList<var>*, MyList<var>*, int)"
44,0.0,100.05,0.01,389.08,12,0.0,0.0,"Parallel::Dump_Data(Patch*, MyList<var>*, char*, double, double, int)"
45,0.0,100.05,0.0,389.08,701766,0.0,0.0,Patch::getdX(int)
46,0.0,100.05,0.0,389.08,563166,0.0,0.0,"Ansorg::xyz_to_ABp(double, double, double, double*, double*, double*)"
47,0.0,100.05,0.0,389.08,563166,0.0,0.0,"Ansorg::ps_u_at_xyz(double, double, double)"
48,0.0,100.05,0.0,389.08,230517,0.0,0.0,"Patch::Interp_ONE_Point(MyList<var>*, double*, double*, int)"
49,0.0,100.05,0.0,389.08,140352,0.0,0.0,"Parallel::build_owned_gsl2(Patch*, int)"
50,0.0,100.05,0.0,389.08,120144,0.0,0.0,"Parallel::build_owned_gsl0(Patch*, int)"
51,0.0,100.05,0.0,389.08,53420,0.0,0.0,global_interp_
52,0.0,100.05,0.0,389.08,35552,0.0,0.0,"Parallel::build_owned_gsl4(Patch*, int, int)"
53,0.0,100.05,0.0,389.08,21821,0.0,0.0,Parallel::build_complete_gsl(Patch*)
54,0.0,100.05,0.0,389.08,19278,0.0,0.0,Parallel::build_buffer_gsl(Patch*)
55,0.0,100.05,0.0,389.08,14923,0.0,0.0,Parallel::build_ghost_gsl(Patch*)
56,0.0,100.05,0.0,389.08,14923,0.0,0.0,"Parallel::Sync(Patch*, MyList<var>*, int)"
57,0.0,100.05,0.0,389.08,8212,0.0,0.0,"Parallel::Sync(MyList<Patch>*, MyList<var>*, int)"
58,0.0,100.05,0.0,389.08,4355,0.0,0.0,"Parallel::OutBdLow2Hi(Patch*, Patch*, MyList<var>*, MyList<var>*, int)"
59,0.0,100.05,0.0,389.08,1939,0.0,0.0,"misc::parse_parts(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, int&)"
